Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,timestamp
Brazil,Itabuna,50,Good,1,Good,9,Good,3,Good,50,Good,-14.7858,-39.28,2024-03-04 23:00:00
Brazil,Jaguaruana,25,Good,0,Good,14,Good,0,Good,25,Good,-4.8339,-37.7808,2024-03-05 00:00:00
India,Kakching,36,Good,1,Good,17,Good,0,Good,36,Good,24.6085,94.0029,2024-03-05 01:00:00
Democratic Republic of the Congo,Kindu,160,Unhealthy,6,Good,43,Good,1,Good,160,Unhealthy,-2.95,25.95,2024-03-05 02:00:00
Japan,Kitakami,47,Good,1,Good,44,Good,2,Good,47,Good,39.2867,141.1132,2024-03-05 03:00:00
Kenya,Kitui,45,Good,1,Good,20,Good,0,Good,45,Good,-1.3667,38.0167,2024-03-05 04:00:00
South Africa,Knysna,45,Good,1,Good,15,Good,1,Good,45,Good,-34.0356,23.0489,2024-03-05 05:00:00
Russian Federation,Korsakov,27,Good,1,Good,27,Good,0,Good,20,Good,46.6333,142.7667,2024-03-05 06:00:00
Colombia,Pasto,19,Good,0,Good,8,Good,1,Good,19,Good,1.2078,-77.2772,2024-03-05 07:00:00
Brazil,Pedra,25,Good,0,Good,11,Good,1,Good,25,Good,-8.5006,-36.9456,2024-03-05 08:00:00
Thailand,Phak Hai,54,Moderate,1,Good,25,Good,1,Good,54,Moderate,14.4626,100.3667,2024-03-05 09:00:00
Thailand,Phanat Nikhom,53,Moderate,1,Good,18,Good,1,Good,53,Moderate,13.4458,101.1844,2024-03-05 10:00:00
United States of America,Omaha,43,Good,1,Good,40,Good,4,Good,43,Good,41.2627,-96.0529,2024-03-05 11:00:00
Italy,Orbetello,63,Moderate,1,Good,47,Good,0,Good,63,Moderate,42.4394,11.2125,2024-03-05 12:00:00
Russian Federation,Ostrov,34,Good,1,Good,34,Good,0,Good,34,Good,57.35,28.35,2024-03-05 13:00:00
United States of America,Owatonna,58,Moderate,1,Good,35,Good,3,Good,58,Moderate,44.0912,-93.2312,2024-03-05 14:00:00
Netherlands,Drimmelen,40,Good,1,Good,31,Good,5,Good,40,Good,51.6833,4.8,2024-03-05 15:00:00
United States of America,Dyer,65,Moderate,2,Good,23,Good,13,Good,65,Moderate,41.4977,-87.509,2024-03-05 16:00:00
